id	comma-separated identified biomolecules	patent name	patent title	patent abstract
61562153	camelid heavychain antibody,human cd3\u03b5 component,camel derived polypeptides binding human cd3,vhh domain,variable domain,phage display camel monoclonal antibody,t cell receptor	WO2018048318	CAMEL DERIVED POLYPEPTIDES BINDING HUMAN CD3, IDENTIFIED USING A NOVEL ONE-STEP METHOD	The present invention relates to variable domains of camelid heavy-chain antibodies (VHH domains) directed against the human CD3\u03b5 component of the T cell receptor and specifically to methods of use of said polypeptides for delivering prophylactic, therapeutic or diagnostic compounds to human T lymphocytes. It further describes a novel one-step method for the identification of phage displayed camel monoclonal antibodies.
61600478	pdl1,pd1,humanized nanoantibody,nanoantibody,anti-pd-1 nano-antibody	US11292841	Anti-PD-1 nano-antibody and application thereof	An anti-PD-1 nano-antibody capable of blocking a binding interaction between PD-1 and a ligand thereof, PD-L1. Disclosed are the nano-antibody, a nucleotide sequence encoding the nano-antibody, a corresponding expression vector, a host cell expressing the nano-antibody, and a method of producing the nano-antibody. Also disclosed is a humanized PD-1 nano-antibody sequence. The humanized nano-antibody can block the binding interaction between PD-1 and the ligand thereof, PD-L1 while still retaining a high affinity.
61617886	cd20,antibody,recombinant single domain antibody	US20180079822	Single Domain Antibodies that Bind to Human CD20\n	Described herein is the development of recombinant single domain antibodies, also known as nanobodies, that may provide better therapeutic results or be useful for diagnostic applications of B-cell lymphomas, or in other applications where an antibody to CD20 may be useful.
61627188	raavexpressed immunoglobulin	WO2018160573	INFLUENZA VACCINES BASED ON AAV VECTORS	A non-replicating recombinant adeno-associated associated virus (rAAV) having an AAV capsid having packaged therein a vector genome which comprises AAV inverted terminal repeat sequences and at least one nucleic acid sequence encoding four different immunoglobulin regions (a), (b), (c) and (d) is provided. The rAAV-expressed immunoglobulins are useful for providing passive immunization against influenza A and influenza B. Also described herein are compositions containing the rAAV. Methods of vaccinating patients against influenza are provided.
61691657	serum protein,serum albumin,sda	US20220275066	SINGLE DOMAIN ANTIBODIES BINDING TO TETANUS NEUROTOXIN	The present invention relates to single domain antibodies (SDAs) that are capable of binding to tetanus neurotoxin. The invention further relates to polypeptide constructs comprising such an SDA as well as an SDA that is capable of binding to a serum protein, preferably to serum albumin or immunoglobulin. The invention also relates to nucleic acids encoding such SDAs or polypeptide constructs, to pharmaceutical compositions comprising such SDAs or polypeptide constructs, the medical use thereof and to their use in the treatment of tetanus.
61783635	il4,il5,il4r,bispecific antibody,antigen binding domain,il5r,il4r\u03b1,il13	WO2019158728	COMBINED ANTAGONISTS AGAINST IL-5/IL-5R AND EITHER IL-4/IL-4R OR IL-13/IL-13R	The present invention relates to combination therapies and to their use in the treatment of chronic airway disease, particularly use in the treatment of asthma. The combination therapies comprise (i) an antagonist of IL-5:IL-5R and (ii) an antagonist of IL-4:IL-4R and/or an antagonist of IL-13:IL-13R. The present invention also provides bispecific antibodies comprising an antigen binding domain that binds to IL-4R\u03b1 and an antigen binding domain that binds to IL-5. The bispecific antibodies may be used for the treatment of chronic airway disease, particularly asthma.
61904957	singledomain antibodies,ctla4	US11472881B2	Single-domain antibodies and variants thereof against CTLA-4	The present application provides constructs comprising a single-domain antibody (sdAb) moiety that specifically recognizes cytotoxic T-lymphocyte-associated protein 4 (CTLA-4). Also provided are methods of making and using these constructs.
61952524	fibrin,fusion protein,plasminogen activator,vwf,protease domain,platelets prefer plasminogen activator,plateletvwf complex	WO2019185723	TARGETED THROMBOLYSIS FOR TREATMENT OF MICROVASCULAR THROMBOSIS	The present invention provides fusion proteins for targeted delivery of plasminogen activators to platelet-VWF complexes, or alternatively to the site where these are located, in a fibrin- independent manner. The fusion protein of the invention are for use in methods for the prevention or treatment of diseases or conditions associated with such platelet-VWF complexes, which may cause microvascular thrombosis in diseases such as e.g. thrombotic thrombocytopenic purpura. Preferred targeting agents for incorporation into the fusion proteins are e.g. nanobodies against VWF or platelets. Preferred plasminogen activators for use in the fusion proteins comprise the protease domains of uPA or tPA. The invention further pertains to nucleic acid molecule encoding the fusion proteins of the invention, e.g. a gene therapy vector, and to pharmaceutical compositions comprising the fusion proteins of the invention or such gene therapy vectors.
62017598	monoclonal antibody,radiolabele biomolecule,antibody,antibody fragment,cancer cells relevant biomolecule	WO2018178936	RADIOLABELED BIOMOLECULES AND THEIR USE	The application is drawn to radiolabeled biomolecules and methods for radiolabeling biomolecules with radioactive halogen atoms that minimizes loss of the radioactive halogen due to dehalogenation in vivo, preserves the biological activity of the biomolecule, maximizes retention of radioactivity in cancer cells, and minimizes the retention of radioactivity in normal tissues after in vivo administration. Some such radiolabeled biomolecules comprise a radioactive metal atom in place of, or in addition to the radioactive halogen. The biomolecules have an affinity for particular types of cells and may specifically bind a certain cell, such as cancer cells. Relevant biomolecules include antibodies, monoclonal antibodies, antibody fragments, peptides, other proteins, nanoparticles and aptamers.
62025992	biologicallyproduced products	WO2018183971	SYSTEMS AND METHODS FOR MANUFACTURING BIOLOGICALLY-PRODUCED PRODUCTS	Aspects of the present disclosure relate to systems and methods for manufacturing biologically-produced pharmaceutical products. Some of the systems described herein comprise an upstream component comprising a bioreactor and at least one filter (e.g., a filter probe) integrated with a downstream component comprising a purification module comprising at least a first partitioning unit and a second partitioning unit. In some embodiments, these integrated biomanufacturing systems may be operated under continuous or conditions and may be capable of efficiently producing pure, high-quality pharmaceutical products.
62092304	cd3	WO2018191438	MULTISPECIFIC POLYPEPTIDE CONSTRUCTS HAVING CONSTRAINED CD3 BINDING AND METHODS OF USING THE SAME	The disclosure relates generally to multispecific polypeptides having constrained CD3 binding. In some embodiments, the multispecific polypeptides contain cleavable linkers that, when cleaved, results in dual effector functions. Also provided are methods of making and using these multispecific polypeptides in a variety of therapeutic, diagnostic and prophylactic indications.
62195243	inhibitory domain,antigenbinding domain	WO2018097307	ANTIGEN-BINDING DOMAIN, AND POLYPEPTIDE INCLUDING CONVEYING SECTION	The present invention pertains to: a polypeptide that includes an antigen-binding domain and a conveying section having an inhibitory domain for inhibiting the antigen-binding activity of the antigen-binding domain, and that has a half-life longer than that of the antigen-binding domain when existing alone; a production method and screening method for the polypeptide; a pharmaceutical composition containing the polypeptide; a production method and screening method for a single-domain antibody the antigen-binding activity of which is inhibited by being associated with a specific VL/VH/VHH; and a library of fused polypeptides including a single-domain antibody the antigen-binding activity of which is inhibited by being associated with a specific VL/VH/VHH.
62196127	psma binding protein,membrane antigen binding protein,multispecific binding protein,binding protein	KR20210087108	PROSTATE SPECIFIC MEMBRANE ANTIGEN BINDING PROTEIN	
62196141	psma,cd3,psma targeting trispecific protein,trispecific protein,prostate specific membrane antigen,psma target trispecific protein,halflife extension domain	WO2018098356	PSMA TARGETING TRISPECIFIC PROTEINS AND METHODS OF USE	Provided herein are prostate specific membrane antigen (PSMA) targeting trispecific proteins comprising a domain binding to CD3, a half-life extension domain, and a domain binding to PSMA. Also provided are pharmaceutical compositions thereof, as well as nucleic acids, recombinant expression vectors and host cells for making such PSMA targeting trispecific proteins. Also disclosed are methods of using the disclosed PSMA targeting trispecific proteins in the prevention, and/or treatment diseases, conditions and disorders.
62202947	poi,releasable protein,first interaction domain,retention protein	WO2019197819	ENGINEERED CYTOLYTIC IMMUNECELL	The present invention relates to engineered a cytolytic immune cell comprising: i) a releasable protein which comprises a polypeptide of interest (POI) and a first interaction domain; and ii) a retention protein which is retained within an intracellular compartment of the cell and comprises a second interaction domain which binds to the first protein interaction domain, wherein binding between the first protein interaction domain and second protein interaction domain is disrupted by the presence of an agent, such that in the absence of the agent, the first protein interaction domain and second protein interaction domain bind and result in retention of the POI within an intracellular compartment; whereas in the presence of the agent, the first protein interaction domain and second protein interaction do not bind and the POI is released from the intracellular compartment and expressed at the cell surface or secreted by the cell.
62222376	capsid protein,cell surface marker,fusion protein,vhh,bispecific vhh adaptor protein	WO2019211401	FUSION PROTEINS COMPRISING A CELL SURFACE MARKER SPECIFIC VHH	The present invention relates to fusion proteins comprising a cell surface marker specific VHH. In particular, the invention relates to bispecific VHH adaptor proteins, i.e. fusion proteins comprising an adeno-associated virus (AAV) specific VHH linked to a cell surface marker specific VHH. Moreover, the invention relates to a recombinant AAV which comprises a fusion protein in which a cell surface marker specific VHH is integrated into a capsid protein of the AAV. Also nucleotide sequences encoding such fusion proteins, vectors are contemplated. The invention moreover refers to uses of the fusion proteins and nucleic sequences for gene therapy.
62386492	kit comprise such binding molecule,ang2 binding molecule,vegf	US20220340651	ANTI CANCER COMBINATION THERAPY	The invention relates to the combined use of certain bispecific, VEGF and Ang2 binding molecules with PD1 antagonists for the treatment of cancer. It further relates to pharmaceutical compositions and kits comprising such binding molecules and antagonists.
62559479	antibody variants	EP3551666	ANTIBODY VARIANTS TRANSMIGRATING THE BLOOD-BRAIN BARRIER AND USES THEREOF	
62620830	immunoglobulin	WO2018220225	AGGRECAN BINDING IMMUNOGLOBULINS	The present invention relates to immunoglobulins that specifically bind Aggrecan and more in particular to polypeptides, nucleic acids encoding such polypeptides; to methods for preparing such polypeptides; to compositions and in particular to pharmaceutical compositions that comprise such polypeptides, for prophylactic, therapeutic or diagnostic purposes. In particular, the immunoglobulins of the present invention inhibit the activity of Aggrecan.
62623194	chimeric antigen receptor,transform growth factor beta receptor,tcr,antibody,transgenic t cell receptor,car,t\u03b2r	US20210244762	CAR-T CELLS EXPRESSING AN INHIBITORY ANTI-TGF-BETA-RECEPTOR II SINGLE DOMAIN ANTIBODY	The present invention relates to a cell which comprises a chimeric antigen receptor (CAR) or transgenic T cell receptor (TCR) and secretes an antibody which binds a transforming growth factor beta receptor (T\u03b2R).
62653729	pd1,anti-pd-1 nanobody pd-1/nb52,nanobody pd1/nb52	WO2019104860	ANTI-PD-1 NANOBODY PD-1/NB52, PREPARATION METHOD THEREFOR AND USE THEREOF	Disclosed are an anti-PD-1 nanobody PD-1/Nb52, a preparation method therefor and a use thereof. The nanobody PD-1/Nb52 can be highly expressed in Escherichia coli, and can be used for preparing tumor inhibitors or tumor cell inhibitors, or drugs for inhibiting PD-1 activity or promoting T cell proliferation.
62710362	oligodendrocyte glycoprotein,antibody,mog	US20220025044	ANTIBODY WHICH BINDS TO MYELIN OLIGODENDROCYTE GLYCOPROTEIN	The invention relates to an antibody which binds to myelin oligodendrocyte glycoprotein (MOG), an antibody fragment thereof, a hybridoma which produces the antibody or the antibody fragment, a nucleic acid containing a nucleotide sequence which encodes the antibody or the antibody fragment, a transformant cell containing a vector containing the nucleic acid, a method for producing the antibody or the antibody fragment, a composition containing the antibody or the antibody fragment and a method for detecting or measuring an antigen that is present in the brain, a method for diagnosing or treating a brain disease, a method for improving the property of an antibody of accumulating in the brain and a method for increasing the amount of an antibody in the brain which use the antibody or the antibody fragment.
62710858	multifunctional protein,a multifunctional polypeptide chain,tumor antigen,antigen 1 binding domain r1,cytokine,heterodimer,antigen binding domain,tumorassociated antigen,cytokine receptor complex,cytokine binding domain	US11530264	Multifunctional protein	A multifunctional polypeptide chain or a protein. A polypeptide chain X, comprising an antigen 1 binding domain R1, an auxiliary peptide chain linking domain R2 and an antigen 2 binding domain R3. The auxiliary peptide chain linking domain R2 is a cytokine or a cytokine binding domain in a cytokine receptor. A protein, which is a heterodimer composed of the polypeptide chain X as a main peptide chain and an auxiliary peptide chain Y. The auxiliary peptide chain Y comprises an antigen 3 binding domain R4 and a main peptide chain X linking domain R5, or the auxiliary peptide chain Y is the main peptide chain linking domain R5. The multifunctional protein mediates specific cell killing by binding to different tumor antigens with the two antigen binding domains of tumor-associated antigens therein. The multifunctional protein can function as a cytokine by introducing a cytokine or a cytokine receptor complex.
62712765	c3b,epitope,human complement factor,c3,single domain antibody,c4,antibody,c1q	US20210253682	SINGLE DOMAIN ANTIBODIES FOR COMPLEMENT REGULATION	Single domain antibodies are provided, which are capable of specifically binding to an epitope of a human complement factor selected from the group consisting of C1q, C3, C4 and/or the proteolytic derivatives C3b and C4b. Further the use of the antibodies are provided for methods in modulating the activity of the complement system as well 5 as methods of treating disorders associated with complement activation.
62716010	collagen,trimeric polypeptide complexes,tnfr family,costimulatory receptor,xviii	US20210246217	TRIMERIC POLYPEPTIDE COMPLEXES AND USES THEREOF	The invention relates to tumor-targeted trimeric polypeptides based on the homotrimerization region from collagen XV or XVIII and which contain domains capable of specifically binding to and activating receptors of the TNFR family of costimulatory receptors as well as to the uses thereof in the treatment of cancer.
62750217	amino acid sequence	US10017560	Nanobody against begomoviruses	A nanobody directed against begomoviruses is capable of selectively binding to ToLCSDV viral particles, TYLCV particles, and/or other begomoviruses. The nanobody includes an amino acid sequence of SEQ ID NO: 2.
62788846	vegfr2 antibodies	EP3562843	VEGFR-2 ANTIBODIES	
62788859	vegfr2	EP3565898	VEGFR-2 CAR IMMUNE CELLS TO TREAT CANCERS	
62788893		EP3580242	ANTI-VEGFR-2 UREASE CONJUGATES	
62846248	fusion proteins,tcr,t cell receptor,tfp	WO2018232020	COMPOSITIONS AND METHODS FOR TCR REPROGRAMMING USING FUSION PROTEINS	Provided herein are T cell receptor (TCR) fusion proteins (TFPs), T cells engineered to express one or more TFPs, and methods of use thereof for the treatment of diseases, including cancer.
62908097	antibodypolysaccharide conjugate,antibody complex,vhh antibody,cushion protein	WO2018135651	ANTIBODY-POLYSACCHARIDE CONJUGATE, AND HIGH-SENSITIVITY IMMUNOASSAY METHOD USING SAME	The purpose of the present invention is to provide an antibody-polysaccharide conjugate for immunoassay that is obtained by binding an antibody or antibody complex to at least one side chain of a water-soluble polysaccharide via a linker, and an immunoassay method using the same.\u3000Provided is an antibody-polysaccharide conjugate for high-sensitivity immunoassay such as a sandwich ELISA and immunochromatography, in which an antibody such as a VHH antibody or an antibody complex comprising an antibody and a cushion protein such as a stefin A mutant is bound, via a linker, to a functional group on a side chain of a water-soluble polysaccharide such as pullulan, whereby it is easier to control the orientation of the antibody when the water-soluble polysaccharide is adsorbed to a solid-phase surface for immunoassay, and it is possible for an antibody having a stable multivalent structure to bind to a target protein without the nonspecific adsorption of other proteins. Additionally provided is a high-sensitivity immunoassay method using the same.
62908338	pdl1	US11377497	PD-L1 binding polypeptide or composite	The present invention relates to the field of medical biology, and discloses a high-resolution crystal structure of a complex of PD-L1-blocking heavy-chain single-domain antibody KN035 binding with PD-L1, and the use of the crystal structure. The invention also relates to novel PD-L1 binding polypeptides or compounds developed based on the crystal structure and uses thereof.
62916411	poi,transcription factors,transcription factor	US20210269811	MEANS AND METHODS FOR INCREASED PROTEIN EXPRESSION BY USE OF TRANSCRIPTION FACTORS	The present invention is in the field of recombinant biotechnology, in particular in the field of protein expression. The invention generally relates to a method of increasing the yield of a protein of interest (POI) in a eukaryotic host cell, preferably a yeast, by overexpressing at least one polynucleotide encoding at least one transcription factor of the present invention, preferably Msn4/2. The invention relates further to a recombinant eukaryotic host cell for manufacturing a POI, wherein the host cell is engineered to overexpress at least one polynucleotide encoding at least one transcription factor as well as the use of the host cell for manufacturing a POI.
62977950	bloodbrain barrier cross antibody	US20190352383	BLOOD-BRAIN BARRIER TRANSMIGRATING COMPOUNDS AND USES THEREOF	A brain-penetrating composition of amyloid-\u00df binding peptide is disclosed. This may be useful in the treatment of Alzheimer's disease, for example as a bifunctional molecule, comprising a blood-brain barrier crossing antibody and an amyloid-\u00df targeting peptide linked via an Fc fragment that is able to transmigrate across the blood-brain barrier into the brain, and compositions comprising same. Methods of using this composition for treating Alzheimer's disease are disclosed.
62978099	multispecific antibody,bispecific antibody	US20210395387	ANTIBODY CONJUGATE, AND RELATED PHARMACEUTICAL COMPOSITION AND APPLICATION	The present invention relates to a multi-specific antibody conjugate (such as, a bispecific antibody conjugate), and a related composition, therapeutic method and use thereof. The antibody conjugate comprises a multispecific antibody, such as a bispecific antibody, conjugated to a nanomaterial. The antibody conjugate can be used to modulate an immune response, treat or prevent a disease or condition (e.g., a cancer, autoimmune disease, pathogen infection or inflammatory disease), etc.
62978808		KR1020190111946		
63036501	nucleic acid molecule,fusion protein	US11498960	Polypeptides that bind complement component C5 or serum albumin and fusion proteins thereof	The disclosure provides engineered polypeptides that specifically bind to human complement component C5 and/or serum albumin. The disclosure also provides fusion proteins comprising such engineered polypeptides, wherein such fusion proteins may be multivalent and multi-specific fusion proteins. The disclosure further provides nucleic acid molecules that encode such engineered polypeptides or fusion proteins, and methods of making such engineered polypeptides or fusion proteins. The disclosure further provides pharmaceutical compositions that comprise such engineered polypeptides or fusion proteins, and methods of treatment using such engineered polypeptides or fusion proteins.
63038646	variable domain,vhh,heavychain antibody	US20180222966	TRANSGENIC PLANT COMPRISING A POLYNUCLEOTIDE ENCODING A VARIABLE DOMAIN OF HEAVY-CHAIN ANTIBODY	This disclosure relates to a transgenic plant or plant tissue. In particular, this disclosure relates to a transgenic plant or plant tissue or plant cell comprising at least one polynucleotide comprising at least one sequence encoding a variable domain of a heavy-chain antibody (VHH) specifically binding to a sphingolipid of a fungus. Advantageously, the expression of the polynucleotide in at least part of the transgenic plant or plant tissue or plant cell (i) protects at least part of the transgenic plant or plant tissue or plant cell from an infection with a plant pathogenic fungus, (ii) inhibits the growth of a plant pathogenic fungus on at least part of the transgenic plant or plant tissue or plant cell, or (iii) increases the resistance of at least part of the transgenic plant or plant tissue or plant cell against a plant pathogenic fungus. This disclosure also relates to a method for protecting at least part of a plant or plant tissue or plant cell from an infection with a plant pathogen, for inhibiting the growth of a plant pathogen on at least part of a plant or plant tissue or plant cell, or for increasing pathogen resistance of at least part of a plant or plant tissue or plant cell, comprising expressing in at least part of the plant or plant tissue or plant cell at least one polynucleotide encoding a VHH specifically binding to a pathogen.
63040188	chimeric protein	US20210230291	TARGETED ENGINEERED INTERFERON AND USES THEREOF	The present invention relates, in part, to chimeric proteins comprising consensus interferon, or a variant thereof, and their use as therapeutic agents.
63273369	v domain,antibody,variable ( v ) domain	US20220073581	ANTIBODIES COMPRISING A POLYPEPTIDE INSERTED IN FRAMEWORK 3 REGION	The present invention provides antibodies comprising a variable (V) domain and an insert polypeptide, wherein the insert polypeptide is within the framework 3 region of the V domain.
63528817	glycanconjugate,recombinant glycoprotein	WO2019053145	GENETICALLY ENGINEERED EUKARYOTIC CELLS PRODUCING LACNAC-GLYCOPROTEINS	The present invention provides means and methods for the production in eukaryotic cells of homogeneous forms of small glycan structures which carry terminal galactose residues. In addition, the invention provides glycan-conjugates based on specific coupling with galactose residues present on the recombinant glycoproteins.
63667077	cd33,anti-cd33 chimeric antigen receptor,cd123,car,anti-cll1 car	WO2020035676	CAR T-CELLS COMPRISING AN ANTI CD33, AN ANTI CLL1 AND AT LEAST ONE FURTHER CAR ANTI CD123 AND/OR FTL3	The present disclosure provides a cell comprising: an anti-CD33 chimeric antigen receptor (CAR); an anti-CLL1 CAR; and an anti- CD123 and/or anti- CAR FLT3 CAR. The cell can be used in the treatment of a disease such as acute myeloid leukemia (AM L).
63713964		WO2020053627	TARGETED SINGLE DOMAIN ANTIBODIES WITH CATALYTIC ACTIVITY (T-CAN)	The present invention discloses targeted single domain antibodies with catalytic activity for the treatment of tumors.
63788010	cd3,tumor protease,tta,constrained conditionally activated binding proteins,tumor target antigen	US20220273794A1	CONSTRAINED CONDITIONALLY ACTIVATED BINDING PROTEINS	The invention relates to COnditional Bispecific Redirected Activation constructs, or COBRAs, that are administered in an active pro-drug format. Upon exposure to tumor proteases, the constructs are cleaved and activated, such that they can bind both tumor target antigens (TTAs) as well as CD3, thus recruiting T cells expressing CD3 to the tumor, resulting in treatment.
63788012	conditionally activate binding protein,fc regions	WO2019051122	CONDITIONALLY ACTIVATED BINDING MOIETIES CONTAINING Fc REGIONS	Provided herein are compositions of conditionally activated binding proteins containing Fc regions, and methods for coexpressing and purifying such conditionally activated binding proteins. Also provided are methods of treating cancer by administering the conditionally activated binding proteins to a patient.
63791375	bsab,bispecific antibody	US20180296699	Personalized Medicine Therapeutic MiniCircle	Bispecific antibodies (bsAbs) have emerged as a class of promising anti-cancer and anti-infection biological drugs. They are capable of killing target cells, either cancer cells or microbe-infected cells, at levels of nanograms per milliliter serum in vivo, about 1e+5 folds more powerful than regular antibodies. To bypass the problems of high cost in production and inconvenience in administration, a logical solution is to use gene therapy vectors to produce them in vivo. In a series of preclinical studies, we have demonstrated that DNA MiniCircle was able to express far above therapeutic levels of bsAB persistently both in the presence as well as the absence of transfection co-factors. As a specific and intended improvement of the claimed invention, an enhanced form of bispecific antibodies incorporating a target cell-effector cell bridging device (BTEC) is additionally disclosed.
63834616	tcr,binding moiety,dual acting cd1d immunoglobulin,cd1d,immunoglobulin,multispecific immunoglobulin,antibody	US20220111043	DUAL ACTING CD1D IMMUNOGLOBULIN	The present invention relates to the field of immunology, more in particular to the field of binding moieties and/or immunoglobulins which bind to human CD1d, including antibodies and fragments thereof that modify CD1d-mediated biological functions such as enhanced activation and reduced activation of CD1d-restricted T cells, including the natural killer T-cells and gamma-delta T-cells, and modulation of the function of cells expressing CD1d. The invention also relates to bi-, tri- or multi-specific immunoglobulins that bind to CD1d and a gamma-delta TCR and/or a tumor target. The invention further relates to pharmaceutical preparations and use of such mono-, bi-, and tri- or multi-specific binding moieties and/or immunoglobulins in the treatment of diseases or disorders.
63840807	bacterial surface ( s ) layer protein,inhibit bacterial slayer protein,slayer protein	US11377484	Compounds to inhibit bacterial s-layer protein assembly	The present invention relates to the field of bacterial Surface (S)-layer proteins, in particular to compounds capable of disrupting the bacterial S-Layer, specifically the S-Layer of Bacillus anthracis. More particularly, the invention provides for single domain antibodies for diagnosis and treatment of infection caused by pathogens with an S-Layer, in particular of Bacillus anthracis infection. The invention relates to S-Layer protein binding agents inhibiting bacterial growth and interrupting S-Layer assembly, useful in the treatment of bacterial infection, more specifically treatment of anthrax disease.
63856150	anti-fluorescent protein single-domain antibody,singledomain antibody,fluorescent protein	WO2018192365	DETECTION SYSTEM	A fluorescent reporter system, which contains a truncated body of a fluorescent protein and an anti-fluorescent protein single-domain antibody; the truncated body of the fluorescent protein is incapable of emitting fluorescence in a free state, but may emit fluorescence after binding with the single-domain antibody.
63878425	lowdensity lipoprotein,lrp5/6,vhh	WO2020080941	ANTI- LOW-DENSITY LIPOPROTEIN RECEPTOR-RELATED PROTEIN 5/6 ANTIBODIES	The invention relates to a single heavy chain variable domain antibody (VHH) that binds a specific region on low-density lipoprotein receptor-related proteins 5 and 6 (LRP5/6). The invention further relates to methods for producing the antibody, to a pharmaceutical composition comprising the antibody, and to the first and second medical use of the antibody.
63919211	e1a/b genetic region,cd40,clec9a,dendritic cell surface antigen,e ectodomain	WO2018201017	DENDRITIC CELL TARGETED ADENOVIRUS FOR VACCINATION	Disclosed are camelid single domain antibody (sdAb) against dendritic cell surface antigens such as Clec9A and CD40. Also disclosed are chimeric adenoviruses which can be used as vaccines against a pathogen or cancer. A chimeric adenovirus targeted to dendritic cells incorporates a sequence encoding an sdAb against a dendritic cell surface antigen. A chimeric adenovirus includes a phage T4 fibritin trimerization foldon to replace the Ad5 fiber knob. Furthermore, the E1A/B genetic region of a chimeric adenovirus can be replaced with a heterologous sequence such as a structural gene from a heterologous virus or a sequence encoding a tumor antigen. Examples of heterologous viruses include flaviviruses such as Zika, Chikungunya, Dengue, yellow fever, and West Nile virus. Exemplary Zika sequences introduced into a chimeric adenovirus include full length prM, and the E ectodomain.
64095980	cd3,msln targeting trispecific proteins,halflife extension domain,trispecific protein	WO2018209304	MSLN TARGETING TRISPECIFIC PROTEINS AND METHODS OF USE	Provided herein are mesothelin (MSLN) targeting trispecific proteins comprising a domain binding to CD3, a half-life extension domain, and a domain binding to MSLN. Also provided are pharmaceutical compositions thereof, as well as nucleic acids, recombinant expression vectors and host cells for making such MSLN targeting trispecific proteins. Also disclosed are methods of using the disclosed MSLN targeting trispecific proteins in the prevention, and/or treatment diseases, conditions and disorders.
64096853	msln binding protein,binding protein	WO2018209298	MESOTHELIN BINDING PROTEINS	Disclosed herein are MSLN binding proteins with improved binding affinities and improved ability to mediate T cell dependent killing of cancer cells expressing mesothelin. Pharmaceutical compositions comprising the binding proteins disclosed herein and methods of using such formulations are further provided.
64105002	basehit screening method for identify protein	WO2018208877	BASEHIT, A HIGH-THROUGHPUT ASSAY TO IDENTIFY PROTEINS INVOLVED IN HOST-MICROBE INTERACTION	The invention provides a BASEHIT screening method for identifying proteins that are involved in host-microbe interactions which may function as therapeutic targets.
64270053	target antigen,cterminus	US20180334666	METHODS FOR GENERATING BISPECIFIC FUNCTIONAL AGENTS	The present invention provides a method for preparing a modular scaffold that can bind to a target antigen and a method for engineering a bispecific functional agent consisting of an existing polypeptide binder fused at its C-terminus with said modular scaffold.
64270821	autotransporter ( at ) fusion protein,heterologous molecules	US11059868	Display of heterologous molecules on bacterial cells and membrane vesicles	The present invention concerns Gram-negative bacterial cells or Outer Membrane Vesicles (OMVs) which display on their outer surface an autotransporter (AT) fusion protein covalently coupled via an isopeptide bond to a heterologous molecule. These bacterial cells and OMVs are suitable for use in vaccines or targeted drug delivery of antigens or therapeutic agents to specific cells or tissues.
64308706	antigenbinding chimeric protein,immunoglobulin domain,rigid chimer,scaffold protein,macromolecule,novel antigenbinding chimeric protein,antigenbinding domain	US20210206880A1	Novel Antigen-Binding Chimeric Proteins and Methods and Uses Thereof	The present invention relates to the field of structural biology. More specifically, the present invention relates to novel antigen-binding chimeric proteins, their uses and methods in three-dimensional structural analysis of macromolecules, such as X-ray crystallography and high-resolution Cryo-EM, and their use as a therapeutic, diagnostic, or imaging tool. Even more specifically, the invention relates to a fusion of a scaffold protein and an antigen-binding domain wherein the scaffold protein of said fusion interrupts the Immunoglobulin domain topology to form a rigid chimer.
64456175	anti-il-10 single domain antibody	US20220282269	IMMUNOMODULATING TRANSGENIC PLANTS AND RELATED METHODS	The transgenic plants expressing one or more antagonist IL-10R peptides and anti-IL-10 single domain antibodies that stimulate or modulate the immune system and improve gastrointestinal physiology of an animal fed the transgenic plants or tissues thereof and the genes encoding the antagonist IL-10R peptides and anti-IL-10 single domain antibodies are described. The animal feed additives and animal feed incorporating the transgenic plants or tissues thereof are also described. Methods of stimulating or modulating an animal's immune system, improving an animal's gastrointestinal physiology, improving animal performance by using the transgenic plants or tissues thereof, and treating animals infected with a gastrointestinal pathogen are provided.
64456419	nanobodies against cystic fibrosis transmembrane conductance regulator ( cftr ) inhibitory factor,cystic fibrosis transmembrane conductance regulator ( cftr ) inhibitory factor,vhh,cif	US20220169708	NANOBODIES AGAINST CYSTIC FIBROSIS TRANSMEMBRANE CONDUCTANCE REGULATOR (CFTR) INHIBITORY FACTOR (Cif)	Provided are VHH or nanobodies that specifically bind to cystic fibrosis transmembrane conductance regulator (CFTR) inhibitory factor (Cif), and uses thereof for diagnosis and treatment of Pseudomonas infection.
64566901	novel multispecific antibody	WO2018226985	GUIDED COMBINATIONAL THERAPEUTIC ANTIBODY	The present invention relates to novel multi-specific antibodies comprising fine tuned combination of low affinity single binding domain fragments to selectively targetdouble targets on cancer cell, and use thereof for therapy, such as for guided immunotherapy.
64659990	proteinaceous heterodimer	US20200354478	PROTEINACEOUS HETERODIMER AND USE THEREOF	Provided are proteinaceous heterodimers, pharmaceutical compositions, medicaments and/or kits comprising the proteinaceous heterodimers, methods for producing the proteinaceous heterodimers, and uses thereof.
64661024	rna antibodies,antibody	WO2018232355	RNA ANTIBODIES	Aspects of the disclosure relate to compositions and methods of treating and/or preventing disease by delivering antibodies to a subject. Compositions and treatments provided herein include one or more RNA polynucleotides having an open reading frame encoding one or more antibodies or fragments thereof. Methods for preparing and using such treatments are also provided.
